Hash Implementation,LoadFactor,Iteration,Avg Contains (hit), Avg Contains (miss), Avg Remove, Avg Add
Linear Probing,0.1,0,0.91959,0.1975,0.19792,4.71833,10009.0
Linear Probing,0.1,1,0.04667,0.0325,0.52958,0.02958,10009.0
Linear Probing,0.1,2,0.04333,0.03791,0.05333,0.04125,10009.0
Linear Probing,0.1,3,0.21167,0.03458,0.04541,0.52792,10009.0
Linear Probing,0.1,4,3.03791,0.13834,0.5525,0.03,10009.0
Linear Probing,0.3,0,0.17375,0.19084,0.18833,0.04208,10009.0
Linear Probing,0.3,1,0.03542,0.03583,0.04333,0.03166,10009.0
Linear Probing,0.3,2,0.04,0.04959,0.04875,0.03583,10009.0
Linear Probing,0.3,3,0.03375,0.03375,0.04041,0.02625,10009.0
Linear Probing,0.3,4,0.08375,0.09625,0.04375,0.02708,10009.0
Linear Probing,0.5,0,3.62708,0.04708,0.36208,0.04583,10009.0
Linear Probing,0.5,1,0.05416,0.04625,0.675,0.03458,10009.0
Linear Probing,0.5,2,0.04792,0.04625,0.04834,0.03667,10009.0
Linear Probing,0.5,3,0.08333,0.04292,0.04417,0.02875,10009.0
Linear Probing,0.5,4,0.09542,0.1125,0.04542,0.02875,10009.0
Linear Probing,0.7,0,0.45541,0.05333,3.60959,0.09375,10009.0
Linear Probing,0.7,1,0.04458,0.05709,0.0525,0.04125,10009.0
Linear Probing,0.7,2,0.04125,0.05,0.05917,0.03125,10009.0
Linear Probing,0.7,3,0.04458,0.05167,0.04959,0.03208,10009.0
Linear Probing,0.7,4,0.10917,0.20958,0.06375,0.03333,10009.0
Linear Probing,0.9,0,0.05916,0.09625,0.59625,3.40666,10009.0
Linear Probing,0.9,1,0.05,0.09792,0.05459,0.04625,10009.0
Linear Probing,0.9,2,0.05084,0.0975,0.05375,0.03875,10009.0
Linear Probing,0.9,3,0.04917,0.09542,0.05166,0.03708,10009.0
Linear Probing,0.9,4,0.17167,1.79542,0.05208,0.03666,10009.0
Quadratic Probing,0.1,0,1.18709,0.09792,0.94208,1.38417,10009.0
Quadratic Probing,0.1,1,0.28209,0.28333,0.26417,0.7925,10009.0
Quadratic Probing,0.1,2,0.62709,0.08959,0.66083,0.03125,10009.0
Quadratic Probing,0.1,3,0.03459,0.03917,0.03917,0.02958,10009.0
Quadratic Probing,0.1,4,0.04,0.03458,0.04292,0.02708,10009.0
Quadratic Probing,0.3,0,0.21,0.10083,0.12834,0.035,10009.0
Quadratic Probing,0.3,1,0.56875,0.11792,0.04584,0.03083,10009.0
Quadratic Probing,0.3,2,0.60084,0.07917,0.04083,0.03125,10009.0
Quadratic Probing,0.3,3,0.03792,0.0375,0.04,0.03083,10009.0
Quadratic Probing,0.3,4,0.04125,0.03667,0.03834,0.03,10009.0
Quadratic Probing,0.5,0,3.80209,0.29042,0.42625,0.09333,10009.0
Quadratic Probing,0.5,1,0.04333,0.0475,0.04167,0.0325,10009.0
Quadratic Probing,0.5,2,0.04084,0.04459,0.04167,0.03292,10009.0
Quadratic Probing,0.5,3,0.04,0.045,0.04083,0.03209,10009.0
Quadratic Probing,0.5,4,0.06041,0.04333,0.03917,0.03167,10009.0
Quadratic Probing,0.7,0,0.83333,0.14167,2.47708,0.04083,10009.0
Quadratic Probing,0.7,1,0.04584,0.05375,0.05584,0.03833,10009.0
Quadratic Probing,0.7,2,0.04542,0.05208,0.04666,0.0375,10009.0
Quadratic Probing,0.7,3,0.07666,0.04917,0.05333,0.03625,10009.0
Quadratic Probing,0.7,4,0.045,0.05208,0.04584,0.03792,10009.0
Quadratic Probing,0.9,0,1.91708,0.09958,0.06375,0.04542,10009.0
Quadratic Probing,0.9,1,0.05042,0.05875,0.05375,0.04416,10009.0
Quadratic Probing,0.9,2,0.05083,0.05666,0.05375,0.045,10009.0
Quadratic Probing,0.9,3,0.04917,0.05583,0.0525,0.04375,10009.0
Quadratic Probing,0.9,4,0.05083,0.055,0.05125,0.04292,10009.0
